ItemName,ItemID,BasePrice,SellPrice,PriceCoefficient,Weight,Width,Height,InventorySize,CategoryID,SubcategoryID,ShopName,PriceSource,StackCapacity,VisualName,CatalogVisualPath,IconVisualName,CatalogIconPath,DroppedVisualName,CatalogDroppedPath
 Invisible_Car_Box_6x4,8eded12e-35d0-431b-a634-9ab79bdf1dcd,0,0,1.00,0,1,1,1,8,,None (default),Repository TextAsset,,,,,,Loot_Objects/Empty.prefab,
 Invisible_Car_Terminal_Tractor_Box_6x4,7d4caba7-f12d-4d07-a7b0-f43582ca7d99,0,0,1.00,0,1,1,1,8,,None (default),Repository TextAsset,,,,,,Loot_Objects/Empty.prefab,
 Invisible_Car_Truck_Box_6x6,2af8cdc6-ee18-4cfa-a4d3-62c3c883dd4e,0,0,1.00,0,1,1,1,8,,None (default),Repository TextAsset,,,,,,Loot_Objects/Empty.prefab,
 Invisible_Car_Van_Box_6x6,256e8e05-6ac3-42aa-9db5-cfcb617d1331,0,0,1.00,0,1,1,1,8,,None (default),Repository TextAsset,,,,,,Loot_Objects/Empty.prefab,
 Invisible_Dead_Droid_6x4,6c67b436-3ba9-4479-81e7-e4c228b432cc,0,0,1.00,0,1,1,1,8,,None (default),Repository TextAsset,,,,,,Loot_Objects/Empty.prefab,
.224,4acaafd1-644d-433c-b1c6-00397e476c1e,20,20,1.00,0.013,1,1,1,3,,None (default),Repository TextAsset,30,Ammo/Ammo_224.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_224.prefab,,,Ammo/Boxes/BoxAmmo_224Reg.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_224Reg.prefab
.224 A-II,f8c9b64d-5432-4964-b754-ae524969dde8,19,19,1.00,0.007,1,1,1,30,,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_0224Reg.prefab,,,,Ammo/Boxes/BoxAmmo_0224Reg.prefab,
.224 A-III,43496bca-d104-41a0-8d5f-5482fe864ec7,25,25,1.00,0.008,1,1,1,30,,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_0224Reg.prefab,,,,Ammo/Boxes/BoxAmmo_0224Reg.prefab,
.224 AP,b933ad87-d18c-4100-886a-a522ee7715da,30,30,1.00,0.026,1,1,1,3,24,None (default),Repository TextAsset,30,Ammo/Ammo_224AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Ammo_224AP.prefab,,,Ammo/Boxes/BoxAmmo_224AP.prefab,Assets/Prefabs/Items/Weapons/Ammo/Boxes/BoxAmmo_224AP.prefab
.224 B-II,9be14ea8-db25-4661-92b1-b040393bf871,19,19,1.00,0.009,1,1,1,30,24,None (default),Repository TextAsset,60,Ammo/Boxes/BoxAmmo_0224AP.prefab,,,,Ammo/Boxes/BoxAmmo_0224AP.prefab,
